,count,mean,std,min,25%,50%,75%,max
Visit,373.0,1.8820375335120643,0.9228428078767337,1.0,1.0,2.0,2.0,5.0
MR Delay,373.0,595.1045576407507,635.4851184823334,0.0,0.0,552.0,873.0,2639.0
Age,373.0,77.01340482573727,7.640957297993596,60.0,71.0,77.0,82.0,98.0
EDUC,373.0,14.597855227882038,2.8763394655221375,6.0,12.0,15.0,16.0,23.0
SES,354.0,2.4604519774011298,1.1340048209544438,1.0,2.0,2.0,3.0,5.0
MMSE,371.0,27.342318059299192,3.683243872307289,4.0,27.0,29.0,30.0,30.0
CDR,373.0,0.29088471849865954,0.3745571149682981,0.0,0.0,0.0,0.5,2.0
eTIV,373.0,1488.1286863270777,176.13928554255483,1106.0,1357.0,1470.0,1597.0,2004.0
nWBV,373.0,0.7295683646112601,0.0371350161790646,0.644,0.7,0.729,0.756,0.837
ASF,373.0,1.1954611260053618,0.1380919582804859,0.876,1.099,1.194,1.293,1.587
